episode,total_steps,return,steps,done_reason,fmax_last,buffer_size,cif_path
198,11647,-100.591491,62,bond,240.522171,300000,"mofs/train_pool_valid/qmof-c3d1c9d.cif"
199,11716,-103.825811,69,bond,178.097641,300000,"mofs/train_pool_valid/qmof-39c37e1.cif"
200,11764,-73.717078,48,bond,163.282104,300000,"mofs/train_pool_valid/qmof-5d60111.cif"
201,11830,-108.240591,66,bond,602.402039,300000,"mofs/train_pool_valid/qmof-bcc1269.cif"
202,11877,-76.761349,47,bond,79.721603,300000,"mofs/train_pool_valid/qmof-d85ca31.cif"
203,11926,-65.700183,49,bond,159.279892,300000,"mofs/train_pool_valid/qmof-9581ef1.cif"
204,11968,-67.094614,42,bond,3427.963135,300000,"mofs/train_pool_valid/qmof-49c86f7.cif"
205,12054,-150.454810,86,bond,5251.677246,300000,"mofs/train_pool_valid/qmof-c05888d.cif"
206,12072,-34.100930,18,bond,41.822285,300000,"mofs/train_pool_valid/qmof-f61d5ce.cif"
207,12108,-68.365031,36,bond,122.574760,300000,"mofs/train_pool_valid/qmof-46324de.cif"
208,12169,-100.966647,61,bond,1403.722656,300000,"mofs/train_pool_valid/qmof-fee6f21.cif"
209,12219,-86.415606,50,bond,250.992905,300000,"mofs/train_pool_valid/qmof-6f53f75.cif"
210,12262,-74.686621,43,bond,62.113796,300000,"mofs/train_pool_valid/qmof-8d254b7.cif"
211,12286,-49.155321,24,bond,103.824104,300000,"mofs/train_pool_valid/qmof-f04c67c.cif"
212,12495,-478.123556,209,bond,68.900299,300000,"mofs/train_pool_valid/qmof-e7b4875.cif"
213,12518,-39.406151,23,bond,80.864502,300000,"mofs/train_pool_valid/qmof-839a2a7.cif"
214,12550,-59.301977,32,bond,2221.525879,300000,"mofs/train_pool_valid/qmof-9b41c8c.cif"
215,12608,-107.697225,58,bond,983.407654,300000,"mofs/train_pool_valid/qmof-b8f1e8e.cif"
